23330,Remove shoulder foreign body
23331,Remove shoulder foreign body
23332,Remove shoulder foreign body
23350,Injection for shoulder x-ray
23395,Muscle transfershoulder/arm
23397,Muscle transfers
23400,Fixation of shoulder blade
23405,Incision of tendon & muscle
23406,Incise tendon(s) & muscle(s)
23410,Repair rotator cuff acute
23412,Repair rotator cuff chronic
23415,Release of shoulder ligament
23420,Repair of shoulder
23430,Repair biceps tendon
23440,Remove/transplant tendon
23450,Repair shoulder capsule
23455,Repair shoulder capsule
23460,Repair shoulder capsule
23462,Repair shoulder capsule
23465,Repair shoulder capsule
23466,Repair shoulder capsule
23470,Reconstruct shoulder joint
23472,Reconstruct shoulder joint
23480,Revision of collar bone
23485,Revision of collar bone
23490,Reinforce clavicle
23491,Reinforce shoulder bones
23500,Treat clavicle fracture
23505,Treat clavicle fracture
23515,Treat clavicle fracture
23520,Treat clavicle dislocation
23525,Treat clavicle dislocation
23530,Treat clavicle dislocation
23532,Treat clavicle dislocation
23540,Treat clavicle dislocation
23545,Treat clavicle dislocation
23550,Treat clavicle dislocation
23552,Treat clavicle dislocation
23570,Treat shoulder blade fx
23575,Treat shoulder blade fx
23585,Treat scapula fracture
23600,Treat humerus fracture
23605,Treat humerus fracture
23615,Treat humerus fracture
23616,Treat humerus fracture
23620,Treat humerus fracture
23625,Treat humerus fracture
23630,Treat humerus fracture
23650,Treat shoulder dislocation
23655,Treat shoulder dislocation
23660,Treat shoulder dislocation
23665,Treat dislocation/fracture
23670,Treat dislocation/fracture
23675,Treat dislocation/fracture
23680,Treat dislocation/fracture
23700,Fixation of shoulder
23800,Fusion of shoulder joint
23802,Fusion of shoulder joint
23900,Amputation of arm & girdle
23920,Amputation at shoulder joint
23921,Amputation follow-up surgery
23929,Shoulder surgery procedure
23930,Drainage of arm lesion
23931,Drainage of arm bursa
23935,Drain arm/elbow bone lesion
24000,Exploratory elbow surgery
24006,Release elbow joint
24065,Biopsy arm/elbow soft tissue
24066,Biopsy arm/elbow soft tissue
24075,Remove arm/elbow lesion
24076,Remove arm/elbow lesion
24077,Remove tumor of arm/elbow
24100,Biopsy elbow joint lining
24101,Explore/treat elbow joint
24102,Remove elbow joint lining
24105,Removal of elbow bursa
24110,Remove humerus lesion
24115,Remove/graft bone lesion
24116,Remove/graft bone lesion
24120,Remove elbow lesion
24125,Remove/graft bone lesion
24126,Remove/graft bone lesion
24130,Removal of head of radius
24134,Removal of arm bone lesion
24136,Remove radius bone lesion
24138,Remove elbow bone lesion
24140,Partial removal of arm bone
24145,Partial removal of radius
24147,Partial removal of elbow
24149,Radical resection of elbow
24150,Extensive humerus surgery
24151,Extensive humerus surgery
24152,Extensive radius surgery
24153,Extensive radius surgery
24155,Removal of elbow joint
24160,Remove elbow joint implant
24164,Remove radius head implant
